Region,Quarter,Quota,Profit,Commission,Revenue
North America,Q1,500000,327020,0.02,977020
North America,Q2,550000,252713,0.03,967713
North America,Q3,600000,258527,0.04,1038527
North America,Q4,650000,425550,0.05,1270550
EMEA,Q1,400000,182998,0.03,702998
EMEA,Q2,450000,132495,0.02,717495
EMEA,Q3,500000,324085,0.04,974085
EMEA,Q4,550000,237851,0.03,952851
LATAM,Q1,300000,199296,0.02,589296
LATAM,Q2,350000,132399,0.03,587399
LATAM,Q3,400000,243096,0.02,763096
LATAM,Q4,450000,363385,0.02,948385
Asia,Q1,200000,133112,0.04,393112
Asia,Q2,250000,157857,0.04,482857
Asia,Q3,275000,232257,0.05,589757
Asia,Q4,300000,95272,0.05,485272
